size,try_no,vector*vector,vector*matrix
6601,5,0.000065,0.311900
6601,6,0.000027,0.313263
6601,7,0.000050,0.313192
6601,8,0.000063,0.314648
6601,9,0.000030,0.314865
6701,0,0.000030,0.331553
6701,1,0.000029,0.332817
6701,2,0.000029,0.323789
6701,3,0.000028,0.343203
6701,4,0.000030,0.326090
6701,5,0.000030,0.339464
6701,6,0.000031,0.327115
6701,7,0.000030,0.324355
6701,8,0.000029,0.403686
6701,9,0.000032,0.387440
6801,0,0.000032,0.375207
6801,1,0.000031,0.336098
6801,2,0.000031,0.404561
6801,3,0.000031,0.365143
6801,4,0.000031,0.344507
6801,5,0.000043,0.326430
6801,6,0.000045,0.352076
6801,7,0.000032,0.328519
6801,8,0.000030,0.334196
6801,9,0.000031,0.368855
6901,0,0.000144,0.408599
6901,1,0.000066,0.370188
6901,2,0.000034,0.369389
6901,3,0.000033,0.416966
6901,4,0.000031,0.354666
6901,5,0.000035,0.379231
6901,6,0.000030,0.367795
6901,7,0.000035,0.412969
6901,8,0.000032,0.357078
6901,9,0.000034,0.403650
7001,0,0.000055,0.381483
7001,1,0.000035,0.434289
7001,2,0.000035,0.411881
7001,3,0.000034,0.387804
7001,4,0.000032,0.407669
7001,5,0.000034,0.434321
7001,6,0.000032,0.383495
7001,7,0.000033,0.416435
7001,8,0.000034,0.394617
7001,9,0.000032,0.388121
7101,0,0.000052,0.395522
7101,1,0.000032,0.391180
7101,2,0.000032,0.417335
7101,3,0.000032,0.416626
7101,4,0.000032,0.382328
7101,5,0.000104,0.392795
7101,6,0.000031,0.369975
7101,7,0.000031,0.399603
7101,8,0.000032,0.398046
7101,9,0.000032,0.393418
7201,0,0.000033,0.407425
7201,1,0.000034,0.429926
7201,2,0.000034,0.463270
7201,3,0.000047,0.409415
7201,4,0.000062,0.431529
7201,5,0.000048,0.499164
7201,6,0.000033,0.404297
7201,7,0.000032,0.400849
7201,8,0.000035,0.415224
7201,9,0.000033,0.395445
7301,0,0.000109,0.400389
7301,1,0.000048,0.411619
7301,2,0.000033,0.419586
